Abbreviation,Explanation,Key Source / URL
21 CFR,Title 21 of the Code of Federal Regulations — US Food & Drug regulations,ecfr.gov/current/title-21
7 CFR,Title 7 of the Code of Federal Regulations — USDA regulations including NBFDS,ecfr.gov/current/title-7
AOCS,"American Oil Chemists' Society — official methods for fats, oils, oilseeds",aocs.org
AOAC,AOAC International — official methods of analysis,aoac.org
AACC/AACCI,American Association of Cereal Chemists International,cerealsgrains.org
AMS,USDA Agricultural Marketing Service — enforces NBFDS,ams.usda.gov
BE,Bioengineered — USDA NBFDS term for what is commonly called 'GMO',7 CFR Part 66
CoA,Certificate of Analysis — supplier-issued lot quality document,Per supplier
cGMP,Current Good Manufacturing Practice — 21 CFR Part 110 / 117,ecfr.gov/current/title-21/part-117
CSRD,EU Corporate Sustainability Reporting Directive,ec.europa.eu/CSRD
ENGL,European Network of GMO Laboratories — validates GMO test methods for EU use,gmo-crl.jrc.ec.europa.eu
EU DPP,EU Digital Product Passport — Ecodesign for Sustainable Products Regulation; mandatory 2030,europarl.europa.eu/ESPR
FALCPA,Food Allergen Labeling and Consumer Protection Act 2004 — Big-8 allergens,fda.gov
FASTER Act,"Food Allergy Safety, Treatment, Education & Research Act 2021 — adds sesame (Big-9)",fda.gov
FCC,Food Chemicals Codex — USP purity & identity standards,usp.org/food-ingredients
FSMA,Food Safety Modernization Act 2011,fda.gov/food/fsma
FSSC 22000,Food Safety System Certification 22000 — GFSI scheme,fssc22000.com
FSVP,Foreign Supplier Verification Program — 21 CFR Part 1 Subpart L,ecfr.gov/current/title-21/chapter-I/subchapter-A/part-1/subpart-L
FTL,FDA Food Traceability List — high-risk foods (21 CFR Part 1 Subpart S),fda.gov/food/fsma/food-traceability-rule
GMO,Genetically Modified Organism — common term; USDA uses 'Bioengineered (BE)',usda.gov/topics/biotechnology
GRAS,Generally Recognized as Safe — FDA status for food substances,fda.gov/food/gras
ICP-MS,Inductively Coupled Plasma–Mass Spectrometry — heavy metal trace analysis,Standard analytical method
ICUMSA,International Commission for Uniform Methods of Sugar Analysis,icumsa.org
IP,Identity Preserved — chain-of-custody certification for Non-GMO/Organic ingredients,Non-GMO Project; USDA NOP
ISO 17025,Lab accreditation standard for testing & calibration laboratories,iso.org
ISO 21569,Qualitative PCR method for GMO detection in food and feed,iso.org/standard/34614.html
ISO 21570,Quantitative PCR method for GMO detection — reports % GMO content,iso.org/standard/34615.html
ISO 21571,Nucleic acid extraction methods for GMO analysis in food and feed,iso.org/standard/34616.html
NBFDS,National Bioengineered Food Disclosure Standard — USDA AMS; 7 CFR Part 66; mandatory from 1 Jan 2022,ams.usda.gov/rules-regulations/be
NOP,USDA National Organic Program — organic certification; de facto Non-GMO,ams.usda.gov/about-ams/programs-offices/national-organic-program
PC Rule,Preventive Controls for Human Food Rule — 21 CFR Part 117,ecfr.gov/current/title-21/part-117
PCR,Polymerase Chain Reaction — primary laboratory method for GMO detection,ISO 21569/21570/21571
QI,Qualified Individual — FSVP requirement; trained in food safety,21 CFR Part 1 Subpart L §1.502
SCAR,Supplier Corrective Action Request,Internal QMS document
SOI,Standard of Identity — FDA composition requirements (21 CFR 100–169),ecfr.gov/current/title-21
USP-NF,US Pharmacopeia–National Formulary — purity standards,usp.org
,,
,,
KEY REGULATORY SOURCES,,
FDA eCFR Title 21 (Food),ecfr.gov/current/title-21,
USDA AMS — NBFDS Full Text (7 CFR Part 66),ams.usda.gov/rules-regulations/be,
USDA AMS — BE Disclosure Resources & Symbol,ams.usda.gov/publications/content/be-food-disclosure,
USDA AMS — Highly Refined Foods Guidance (2022),ams.usda.gov/sites/default/files/media/NBFDSHighlyRefinedFoodsGuidance.pdf,
USDA NBFDS Listed BE Crops (Appendix A),7 CFR Part 66 Appendix A — check for updates,
EU GMO Regulation Reg EC 1829/2003,eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32003R1829,
EU GMO Labelling Reg EC 1830/2003,eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32003R1830,
ENGL GMO Methods Library,gmo-crl.jrc.ec.europa.eu,
ISO 21569:2005 — Qualitative PCR,iso.org/standard/34614.html,
ISO 21570:2005 — Quantitative PCR,iso.org/standard/34615.html,
Non-GMO Project Standard v14,nongmoproject.org/gmo-facts/the-non-gmo-project-standard/,
USDA NOP Organic Regulations,ams.usda.gov/about-ams/programs-offices/national-organic-program,
FSMA Overview,fda.gov/food/guidance-regulation-food-and-dietary-supplements/fsma,
FSVP Final Rule (21 CFR Part 1 Subpart L),ecfr.gov/current/title-21/chapter-I/subchapter-A/part-1/subpart-L,
FDA GRAS Substances Database,hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=FoodSubstances,
FDA Import Alerts Database,fda.gov/safety/import-alerts,
Food Chemicals Codex (USP),usp.org/food-ingredients/food-chemicals-codex,
EU DPP — Ecodesign for Sustainable Products,europarl.europa.eu/legislative-train/theme-a-european-green-deal/ESPR,
EU CSRD Directive,ec.europa.eu/info/business-economy-euro/company-reporting-and-auditing,
