
Material,FDA Regulatory Status,21 CFR Citation,Eligibility Criterion,Auto-Disqualify If…,Application / Use Level Check,"GMO / BE Status
(USDA NBFDS)",PASS / FAIL
Sucrose (Refined Sugar — cane),GRAS – Direct food ingredient,21 CFR 184.1854,From sugar cane; no synthetic adulterants,"Synthetic colourant, SO₂ >15 mg/kg",Used within GMP; no maximum use level,"Not BE listed (cane sugar)
No NBFDS disclosure required",PASS / FAIL
Sucrose (Refined Sugar — beet),GRAS – Direct food ingredient,21 CFR 184.1854,From sugar beet; highly refined — protein/DNA removed,Synthetic colourant; undeclared additives,Used within GMP; no maximum use level,"USDA NBFDS: Sugar beet IS a listed BE crop.
Highly refined sugar: BE disclosure may not be required if no detectable modified genetic material. Verify with USDA AMS guidance. IP CoA recommended.",PASS / FAIL
HFCS-42 / HFCS-55,GRAS – Direct food ingredient,21 CFR 184.1865,Enzymatically converted corn syrup; fructose fraction declared,Fructose fraction mismatch; microbial contamination,Fructose % must match declared grade,USDA NBFDS: Corn IS a listed BE crop. HFCS = highly refined; BE disclosure obligation depends on detectability. In practice most US HFCS is from BE corn — disclose unless Non-GMO IP CoA on file.,PASS / FAIL
Cocoa Powder (Natural/Dutched),Standard of Identity,21 CFR Part 163,Fat content tier declared; no adulteration,Undeclared alkalization; shell >1.75%,Fat content tier must match application claim,Cocoa is NOT on USDA BE list. No NBFDS disclosure required. Verify country-of-origin for EU export (EU GMO regulation Reg EC 1829/2003 may apply if cross-contamination risk).,PASS / FAIL
Corn Starch,GRAS / USP-grade,21 CFR CPG Sec 578.100,USP-grade corn starch for food use,Non-USP grade without purity documentation,Used within GMP,USDA NBFDS: Corn IS listed BE crop. Corn starch = refined. Disclosure required unless IP certified non-GMO. Require IP CoA + PCR test ≤0.9% if Non-GMO claim.,PASS / FAIL
Modified Corn Starch,Approved Food Additive,21 CFR 172.892,"Modification type listed (esterified, etherified, cross-linked)",Modification type not in 21 CFR 172.892 list,DS/MS within approved range,Same as Corn Starch — corn is BE listed. Disclosure required. IP option available.,PASS / FAIL
Soy Protein Isolate,GRAS – Direct food ingredient,21 CFR 184.1349,Protein ≥90% dry basis; allergen declared,Allergen declaration missing; Salmonella positive,FALCPA soy allergen declaration mandatory,USDA NBFDS: Soybean IS listed BE crop. SPI retains detectable protein/DNA — BE disclosure MANDATORY unless Non-GMO Project Verified or USDA Organic. IP CoA + PCR test required for Non-GMO claim.,PASS / FAIL
Soybean Oil (Refined),GRAS – Direct food ingredient,21 CFR 184.1472,Fully refined; from clean sound soybeans,Partially hydrogenated (trans fat requires petition),PHO requires separate approval,USDA NBFDS: Soybean IS listed BE crop. Highly refined soybean oil: detection of modified genetic material is unlikely after RBD process. USDA AMS guidance suggests highly refined oils may not require BE disclosure. Verify per current AMS guidance. IP CoA recommended.,PASS / FAIL
Palm Oil (RBD),GRAS – Direct food ingredient,21 CFR 184.1 (edible oils),"Fully refined, bleached, deodorized",Non-food process aids; undeclared allergens,No FDA-specific standard of identity,Palm is NOT on USDA BE list. No NBFDS disclosure required. Note: RSPO certification is a sustainability (not GMO) requirement.,PASS / FAIL
